"type","prov","age","cause","kill","lci","uci"
"uncons","National Capital Region","u18","Pneumonia",21.612301458751,0.655709996879752,39.5524946999049
"cons","National Capital Region","u18","Pneumonia",21.612301458751,0.655709996879752,39.5524946999049
"uncons","Abra","all","Pneumonia",0,0,0
"uncons","Abra","u18","Pneumonia",0,0,0
"cons","Abra","all","Pneumonia",0,0,0
"cons","Abra","u18","Pneumonia",0,0,0
"uncons","Benguet","all","Pneumonia",0,0,0
"uncons","Benguet","u18","Pneumonia",0,0,0
"cons","Benguet","all","Pneumonia",0,0,0
"cons","Benguet","u18","Pneumonia",0,0,0
"uncons","Ifugao","all","Pneumonia",0,0,0
"uncons","Ifugao","u18","Pneumonia",0,0,0
"cons","Ifugao","all","Pneumonia",0,0,0
"cons","Ifugao","u18","Pneumonia",0,0,0
"uncons","Kalinga","all","Pneumonia",0,0,0
"uncons","Kalinga","u18","Pneumonia",0,0,0
"cons","Kalinga","all","Pneumonia",0,0,0
"cons","Kalinga","u18","Pneumonia",0,0,0
"uncons","Apayao","all","Pneumonia",0,0,0
"uncons","Apayao","u18","Pneumonia",0,0,0
"cons","Apayao","all","Pneumonia",0,0,0
"cons","Apayao","u18","Pneumonia",0,0,0
"uncons","Agusan del Norte","all","Pneumonia",0,0,0
"uncons","Agusan del Norte","u18","Pneumonia",0,0,0
"cons","Agusan del Norte","all","Pneumonia",0,0,0
"cons","Agusan del Norte","u18","Pneumonia",0,0,0
"uncons","Agusan del Sur","all","Pneumonia",313.693421205304,190.574362330905,413.231725252368
"cons","Agusan del Sur","all","Pneumonia",36.1563719795956,20.7291113490172,49.176346006744
"uncons","Surigao del Norte","all","Pneumonia",0,0,0
"uncons","Surigao del Norte","u18","Pneumonia",0,0,0
"cons","Surigao del Norte","all","Pneumonia",0,0,0
"cons","Surigao del Norte","u18","Pneumonia",0,0,0
"uncons","Surigao del Sur","all","Pneumonia",95.3758364024822,41.2874375635528,142.562893173215
"cons","Surigao del Sur","all","Pneumonia",2.27282380341901,1.19355914456777,3.25995377661782
"uncons","Occidental Mindoro","all","Pneumonia",0,0,0
"uncons","Occidental Mindoro","u18","Pneumonia",0,0,0
"cons","Occidental Mindoro","all","Pneumonia",0,0,0
"cons","Occidental Mindoro","u18","Pneumonia",0,0,0
"uncons","Oriental Mindoro","all","Pneumonia",0,0,0
"uncons","Oriental Mindoro","u18","Pneumonia",0,0,0
"cons","Oriental Mindoro","all","Pneumonia",0,0,0
"cons","Oriental Mindoro","u18","Pneumonia",0,0,0
"uncons","Palawan","all","Pneumonia",0,0,0
"uncons","Palawan","u18","Pneumonia",0,0,0
"cons","Palawan","all","Pneumonia",0,0,0
"cons","Palawan","u18","Pneumonia",0,0,0
"uncons","Ilocos Norte","all","Sepsis",0,0,0
"uncons","Ilocos Norte","u18","Sepsis",0,0,0
"cons","Ilocos Norte","all","Sepsis",0,0,0
"cons","Ilocos Norte","u18","Sepsis",0,0,0
"uncons","Ilocos Sur","all","Sepsis",0,0,0
"uncons","Ilocos Sur","u18","Sepsis",0,0,0
"cons","Ilocos Sur","all","Sepsis",0,0,0
"cons","Ilocos Sur","u18","Sepsis",0,0,0
"uncons","La Union","all","Sepsis",0,0,0
"uncons","La Union","u18","Sepsis",0,0,0
"cons","La Union","all","Sepsis",0,0,0
"cons","La Union","u18","Sepsis",0,0,0
"uncons","Pangasinan","all","Sepsis",0,0,0
"uncons","Pangasinan","u18","Sepsis",0,0,0
"cons","Pangasinan","all","Sepsis",0,0,0
"cons","Pangasinan","u18","Sepsis",0,0,0
"uncons","Cagayan","all","Sepsis",0,0,0
"uncons","Cagayan","u18","Sepsis",0,0,0
"cons","Cagayan","all","Sepsis",0,0,0
"cons","Cagayan","u18","Sepsis",0,0,0
"uncons","Isabela","all","Sepsis",0,0,0
"uncons","Isabela","u18","Sepsis",0,0,0
"cons","Isabela","all","Sepsis",0,0,0
"cons","Isabela","u18","Sepsis",0,0,0
"uncons","Bataan","all","Sepsis",0,0,0
"uncons","Bataan","u18","Sepsis",0,0,0
"cons","Bataan","all","Sepsis",0,0,0
"cons","Bataan","u18","Sepsis",0,0,0
"uncons","Bulacan","all","Sepsis",0,0,0
"uncons","Bulacan","u18","Sepsis",0,0,0
"cons","Bulacan","all","Sepsis",0,0,0
"cons","Bulacan","u18","Sepsis",0,0,0
"uncons","Nueva Ecija","all","Sepsis",55.4669082778707,25.5377421874044,78.259205847221
"cons","Nueva Ecija","all","Sepsis",21.7035180957489,6.74860728831868,32.8438548145455
"uncons","Nueva Ecija","u18","Sepsis",11.3039572109073,3.68417011738748,16.6995413583826
"cons","Nueva Ecija","u18","Sepsis",0.944510689755681,0.348922768527859,1.36025914441005
"uncons","Pampanga","all","Sepsis",71.1729998133594,23.2966912770676,107.05243346801
"cons","Pampanga","all","Sepsis",39.6199669767709,13.9493496706316,59.072832613524
"uncons","Tarlac","all","Sepsis",0,0,0
"uncons","Tarlac","u18","Sepsis",0,0,0
"cons","Tarlac","all","Sepsis",0,0,0
"cons","Tarlac","u18","Sepsis",0,0,0
"uncons","Zambales","all","Sepsis",0,0,0
"uncons","Zambales","u18","Sepsis",0,0,0
"cons","Zambales","all","Sepsis",0,0,0
"cons","Zambales","u18","Sepsis",0,0,0
"uncons","Batangas","all","Sepsis",0,0,0
"uncons","Batangas","u18","Sepsis",0,0,0
"cons","Batangas","all","Sepsis",0,0,0
"cons","Batangas","u18","Sepsis",0,0,0
"uncons","Cavite","all","Sepsis",0,0,0
"uncons","Cavite","u18","Sepsis",0,0,0
"cons","Cavite","all","Sepsis",0,0,0
"cons","Cavite","u18","Sepsis",0,0,0
"uncons","Laguna","all","Sepsis",221.067859778869,142.594812978708,285.527964341345
"cons","Laguna","all","Sepsis",43.2556155396646,28.9849344941233,56.2714871368782
"uncons","Laguna","u18","Sepsis",0,0,0
"cons","Laguna","u18","Sepsis",0,0,0
"uncons","Quezon","all","Sepsis",0,0,0
"uncons","Quezon","u18","Sepsis",0,0,0
"cons","Quezon","all","Sepsis",0,0,0
"cons","Quezon","u18","Sepsis",0,0,0
"uncons","Rizal","all","Sepsis",80.7496635517448,49.523664513795,105.402970024328
"cons","Rizal","all","Sepsis",80.7496635517448,49.523664513795,105.402970024328
"uncons","Rizal","u18","Sepsis",22.8157355246254,16.632153952774,27.1498750882934
"cons","Rizal","u18","Sepsis",22.8157355246254,16.632153952774,27.1498750882934
"uncons","Albay","all","Sepsis",0,0,0
"uncons","Albay","u18","Sepsis",0,0,0
"cons","Albay","all","Sepsis",0,0,0
"cons","Albay","u18","Sepsis",0,0,0
"uncons","Camarines Sur","all","Sepsis",0,0,0
"uncons","Camarines Sur","u18","Sepsis",0,0,0
"cons","Camarines Sur","all","Sepsis",0,0,0
"cons","Camarines Sur","u18","Sepsis",0,0,0
"uncons","Masbate","all","Sepsis",0,0,0
"uncons","Masbate","u18","Sepsis",0,0,0
"cons","Masbate","all","Sepsis",0,0,0
"cons","Masbate","u18","Sepsis",0,0,0
"uncons","Sorsogon","all","Sepsis",0,0,0
"uncons","Sorsogon","u18","Sepsis",0,0,0
"cons","Sorsogon","all","Sepsis",0,0,0
"cons","Sorsogon","u18","Sepsis",0,0,0
"uncons","Aklan","all","Sepsis",0,0,0
"uncons","Aklan","u18","Sepsis",0,0,0
"cons","Aklan","all","Sepsis",0,0,0
"cons","Aklan","u18","Sepsis",0,0,0
"uncons","Antique","all","Sepsis",0,0,0
"uncons","Antique","u18","Sepsis",0,0,0
"cons","Antique","all","Sepsis",0,0,0
"cons","Antique","u18","Sepsis",0,0,0
"uncons","Capiz","all","Sepsis",0,0,0
"uncons","Capiz","u18","Sepsis",0,0,0
"cons","Capiz","all","Sepsis",0,0,0
"cons","Capiz","u18","Sepsis",0,0,0
"uncons","Iloilo","all","Sepsis",0,0,0
"uncons","Iloilo","u18","Sepsis",0,0,0
"cons","Iloilo","all","Sepsis",0,0,0
"cons","Iloilo","u18","Sepsis",0,0,0
"uncons","Negros Occidental","all","Sepsis",0,0,0
"uncons","Negros Occidental","u18","Sepsis",0,0,0
"cons","Negros Occidental","all","Sepsis",0,0,0
"cons","Negros Occidental","u18","Sepsis",0,0,0
"uncons","Bohol","all","Sepsis",0,0,0
"uncons","Bohol","u18","Sepsis",0,0,0
"cons","Bohol","all","Sepsis",0,0,0
"cons","Bohol","u18","Sepsis",0,0,0
"uncons","Cebu","all","Sepsis",0,0,0
"uncons","Cebu","u18","Sepsis",0,0,0
"cons","Cebu","all","Sepsis",0,0,0
"cons","Cebu","u18","Sepsis",0,0,0
"uncons","Negros Oriental","all","Sepsis",0,0,0
"uncons","Negros Oriental","u18","Sepsis",0,0,0
"cons","Negros Oriental","all","Sepsis",0,0,0
"cons","Negros Oriental","u18","Sepsis",0,0,0
"uncons","Leyte","all","Sepsis",78.5972505222993,38.4940869367842,107.582695238639
"cons","Leyte","all","Sepsis",50.4954757225513,30.1792373565072,64.873005559971
"uncons","Northern Samar","all","Sepsis",0,0,0
"uncons","Northern Samar","u18","Sepsis",0,0,0
"cons","Northern Samar","all","Sepsis",0,0,0
"cons","Northern Samar","u18","Sepsis",0,0,0
"uncons","Samar","all","Sepsis",0,0,0
"uncons","Samar","u18","Sepsis",0,0,0
"cons","Samar","all","Sepsis",0,0,0
"cons","Samar","u18","Sepsis",0,0,0
"uncons","Southern Leyte","all","Sepsis",0,0,0
"uncons","Southern Leyte","u18","Sepsis",0,0,0
"cons","Southern Leyte","all","Sepsis",0,0,0
"cons","Southern Leyte","u18","Sepsis",0,0,0
"uncons","Zamboanga del Norte","all","Sepsis",0,0,0
"uncons","Zamboanga del Norte","u18","Sepsis",0,0,0
"cons","Zamboanga del Norte","all","Sepsis",0,0,0
"cons","Zamboanga del Norte","u18","Sepsis",0,0,0
"uncons","Zamboanga del Sur","all","Sepsis",0,0,0
"uncons","Zamboanga del Sur","u18","Sepsis",0,0,0
"cons","Zamboanga del Sur","all","Sepsis",0,0,0
"cons","Zamboanga del Sur","u18","Sepsis",0,0,0
"uncons","Zamboanga Sibugay","all","Sepsis",0,0,0
"uncons","Zamboanga Sibugay","u18","Sepsis",0,0,0
"cons","Zamboanga Sibugay","all","Sepsis",0,0,0
"cons","Zamboanga Sibugay","u18","Sepsis",0,0,0
"uncons","Bukidnon","all","Sepsis",0,0,0
"uncons","Bukidnon","u18","Sepsis",0,0,0
"cons","Bukidnon","all","Sepsis",0,0,0
"cons","Bukidnon","u18","Sepsis",0,0,0
"uncons","Lanao del Norte","all","Sepsis",0,0,0
"uncons","Lanao del Norte","u18","Sepsis",0,0,0
"cons","Lanao del Norte","all","Sepsis",0,0,0
"cons","Lanao del Norte","u18","Sepsis",0,0,0
"uncons","Misamis Occidental","all","Sepsis",47.5978443638193,16.4716912822769,69.3312172184951
"cons","Misamis Occidental","all","Sepsis",0.630086474959263,0.0152760593789254,1.09085843135967
"uncons","Misamis Oriental","all","Sepsis",0,0,0
"uncons","Misamis Oriental","u18","Sepsis",0,0,0
"cons","Misamis Oriental","all","Sepsis",0,0,0
"cons","Misamis Oriental","u18","Sepsis",0,0,0
"uncons","Davao del Norte","all","Sepsis",5.36732742006535,0.415071946670408,9.01546449575132
"cons","Davao del Norte","all","Sepsis",5.36732742006535,0.415071946670408,9.01546449575132
"uncons","Davao del Norte","u18","Sepsis",9.79858263627869,2.84199781854097,14.3445699883182
"cons","Davao del Norte","u18","Sepsis",2.29272339440299,0.748119521555919,3.27987245374785
"uncons","Davao del Sur","all","Sepsis",0,0,0
"uncons","Davao del Sur","u18","Sepsis",0,0,0
"cons","Davao del Sur","all","Sepsis",0,0,0
"cons","Davao del Sur","u18","Sepsis",0,0,0
"uncons","Davao Oriental","all","Sepsis",0.966126294512263,0.0951618313942655,1.55421687207644
"cons","Davao Oriental","all","Sepsis",0.966126294512263,0.0951618313942655,1.55421687207644
"uncons","Cotabato","all","Sepsis",0,0,0
"uncons","Cotabato","u18","Sepsis",0,0,0
"cons","Cotabato","all","Sepsis",0,0,0
"cons","Cotabato","u18","Sepsis",0,0,0
"uncons","South Cotabato","all","Sepsis",60.4149322350692,15.8623132191982,92.8850641795377
"cons","South Cotabato","all","Sepsis",25.3549262975364,8.32685750537684,37.7005709268113
"uncons","South Cotabato","u18","Sepsis",56.2800196939706,23.4918297152359,77.1934966543681
"cons","South Cotabato","u18","Sepsis",11.9088139909172,6.91431098847594,15.1377678816935
"uncons","Sultan Kudarat","all","Sepsis",0,0,0
"uncons","Sultan Kudarat","u18","Sepsis",0,0,0
"cons","Sultan Kudarat","all","Sepsis",0,0,0
"cons","Sultan Kudarat","u18","Sepsis",0,0,0
"uncons","National Capital Region","all","Sepsis",0,0,0
"uncons","National Capital Region","u18","Sepsis",0,0,0
"cons","National Capital Region","all","Sepsis",0,0,0
"cons","National Capital Region","u18","Sepsis",0,0,0
"uncons","Agusan del Norte","all","Sepsis",81.3253602376927,35.8341222954094,112.542011360189
"cons","Agusan del Norte","all","Sepsis",11.7722467356496,3.75321745793513,17.3198509763352
"uncons","Agusan del Sur","all","Sepsis",0,0,0
"uncons","Agusan del Sur","u18","Sepsis",0,0,0
"cons","Agusan del Sur","all","Sepsis",0,0,0
"cons","Agusan del Sur","u18","Sepsis",0,0,0
"uncons","Surigao del Norte","all","Sepsis",0,0,0
"uncons","Surigao del Norte","u18","Sepsis",0,0,0
"cons","Surigao del Norte","all","Sepsis",0,0,0
"cons","Surigao del Norte","u18","Sepsis",0,0,0
"uncons","Surigao del Sur","all","Sepsis",0,0,0
"uncons","Surigao del Sur","u18","Sepsis",0,0,0
"cons","Surigao del Sur","all","Sepsis",0,0,0
"cons","Surigao del Sur","u18","Sepsis",0,0,0
"uncons","Oriental Mindoro","all","Sepsis",0,0,0
"uncons","Oriental Mindoro","u18","Sepsis",0,0,0
"cons","Oriental Mindoro","all","Sepsis",0,0,0
"cons","Oriental Mindoro","u18","Sepsis",0,0,0
"uncons","Palawan","all","Sepsis",0,0,0
"uncons","Palawan","u18","Sepsis",0,0,0
"cons","Palawan","all","Sepsis",0,0,0
"cons","Palawan","u18","Sepsis",0,0,0
"uncons","Ilocos Norte","all","Other Infectious",0,0,0
"uncons","Ilocos Norte","u18","Other Infectious",0,0,0
"cons","Ilocos Norte","all","Other Infectious",0,0,0
"cons","Ilocos Norte","u18","Other Infectious",0,0,0
"uncons","Ilocos Sur","all","Other Infectious",6.43406224123675,0.288312975705633,11.1603312031631
"cons","Ilocos Sur","all","Other Infectious",6.43406224123675,0.288312975705633,11.1603312031631
"uncons","La Union","all","Other Infectious",0,0,0
"uncons","La Union","u18","Other Infectious",0,0,0
"cons","La Union","all","Other Infectious",0,0,0
"cons","La Union","u18","Other Infectious",0,0,0
"uncons","Pangasinan","all","Other Infectious",104.199754856966,24.5030270465041,170.41378398481
"cons","Pangasinan","all","Other Infectious",65.3976935922025,18.553581541734,102.987912484541
"uncons","Pangasinan","u18","Other Infectious",58.0982989528561,25.9067180526048,82.839707582829
"cons","Pangasinan","u18","Other Infectious",0,0,0
"uncons","Cagayan","all","Other Infectious",174.034265369081,84.1228090680781,250.17974677463
"cons","Cagayan","all","Other Infectious",10.8378613841432,4.48596554970567,16.6333786390217
"uncons","Cagayan","u18","Other Infectious",82.1197115005342,52.0325700555836,100.877229229251
"cons","Cagayan","u18","Other Infectious",0.871940504432485,0.291866852661718,1.25507115882503
"uncons","Isabela","all","Other Infectious",0,0,0
"uncons","Isabela","u18","Other Infectious",0,0,0
"cons","Isabela","all","Other Infectious",0,0,0
"cons","Isabela","u18","Other Infectious",0,0,0
"uncons","Nueva Vizcaya","all","Other Infectious",0,0,0
"uncons","Nueva Vizcaya","u18","Other Infectious",0,0,0
"cons","Nueva Vizcaya","all","Other Infectious",0,0,0
"cons","Nueva Vizcaya","u18","Other Infectious",0,0,0
"uncons","Quirino","all","Other Infectious",0,0,0
"uncons","Quirino","u18","Other Infectious",0,0,0
"cons","Quirino","all","Other Infectious",0,0,0
"cons","Quirino","u18","Other Infectious",0,0,0
"uncons","Bataan","all","Other Infectious",16.5789784648774,1.32169378127913,30.1580171734524
"cons","Bataan","all","Other Infectious",9.11900733859128,0.939405317368706,16.5261130808051
"uncons","Bataan","u18","Other Infectious",1.13491765391235,0.106911600410496,1.82297635008253
"cons","Bataan","u18","Other Infectious",0,0,0
"uncons","Bulacan","all","Other Infectious",0,0,0
"uncons","Bulacan","u18","Other Infectious",0,0,0
"cons","Bulacan","all","Other Infectious",0,0,0
"cons","Bulacan","u18","Other Infectious",0,0,0
"uncons","Nueva Ecija","all","Other Infectious",26.477191207495,5.58433386197196,45.1858188558391
"cons","Nueva Ecija","all","Other Infectious",26.477191207495,5.58433386197196,45.1858188558391
"uncons","Nueva Ecija","u18","Other Infectious",4.69077118774422,0.724644215371618,7.80097534922705
"cons","Nueva Ecija","u18","Other Infectious",0,0,0
"uncons","Pampanga","all","Other Infectious",30.5236942748691,3.61691353540577,54.1145412744994
"cons","Pampanga","all","Other Infectious",17.2738596039835,1.99853196812407,30.4468322537259
"uncons","Pampanga","u18","Other Infectious",78.9105019728531,31.4319468752843,113.645613701555
"cons","Pampanga","u18","Other Infectious",6.25184684149838,3.11287407905444,8.53992655578988
"uncons","Tarlac","all","Other Infectious",10.4474672265326,0.778023423941739,18.5775506427591
"cons","Tarlac","all","Other Infectious",5.49158586272953,-0.00179335166333124,9.85341209285281
"uncons","Tarlac","u18","Other Infectious",23.5163321807093,7.94296203896947,35.0745662648387
"cons","Tarlac","u18","Other Infectious",0,0,0
"uncons","Zambales","all","Other Infectious",0,0,0
"uncons","Zambales","u18","Other Infectious",0,0,0
"cons","Zambales","all","Other Infectious",0,0,0
"cons","Zambales","u18","Other Infectious",0,0,0
"uncons","Batangas","all","Other Infectious",0,0,0
"uncons","Batangas","u18","Other Infectious",0,0,0
"cons","Batangas","all","Other Infectious",0,0,0
"cons","Batangas","u18","Other Infectious",0,0,0
"uncons","Cavite","all","Other Infectious",0,0,0
"uncons","Cavite","u18","Other Infectious",0,0,0
"cons","Cavite","all","Other Infectious",0,0,0
"cons","Cavite","u18","Other Infectious",0,0,0
"uncons","Laguna","all","Other Infectious",0,0,0
"uncons","Laguna","u18","Other Infectious",0,0,0
"cons","Laguna","all","Other Infectious",0,0,0
"cons","Laguna","u18","Other Infectious",0,0,0
"uncons","Quezon","all","Other Infectious",0,0,0
"uncons","Quezon","u18","Other Infectious",0,0,0
"cons","Quezon","all","Other Infectious",0,0,0
"cons","Quezon","u18","Other Infectious",0,0,0
"uncons","Rizal","all","Other Infectious",0,0,0
"uncons","Rizal","u18","Other Infectious",0,0,0
"cons","Rizal","all","Other Infectious",0,0,0
"cons","Rizal","u18","Other Infectious",0,0,0
"uncons","Albay","all","Other Infectious",25.9350539172957,3.80218937326792,45.6443179250191
"cons","Albay","all","Other Infectious",20.9424988519945,3.45997625534378,36.5445626611238
"uncons","Albay","u18","Other Infectious",28.9857719184026,10.4831834423618,41.9706252727297
"cons","Albay","u18","Other Infectious",1.29180657272003,-0.0117930416390614,2.1287248809339
"uncons","Camarines Norte","all","Other Infectious",0,0,0
"uncons","Camarines Norte","u18","Other Infectious",0,0,0
"cons","Camarines Norte","all","Other Infectious",0,0,0
"cons","Camarines Norte","u18","Other Infectious",0,0,0
"uncons","Camarines Sur","all","Other Infectious",0,0,0
"uncons","Camarines Sur","u18","Other Infectious",0,0,0
"cons","Camarines Sur","all","Other Infectious",0,0,0
"cons","Camarines Sur","u18","Other Infectious",0,0,0
"uncons","Catanduanes","all","Other Infectious",0,0,0
"uncons","Catanduanes","u18","Other Infectious",0,0,0
"cons","Catanduanes","all","Other Infectious",0,0,0
"cons","Catanduanes","u18","Other Infectious",0,0,0
"uncons","Masbate","all","Other Infectious",70.468155886021,32.1110436031872,102.889908078657
"cons","Masbate","all","Other Infectious",10.6729246299462,0.963367407317136,18.9573747814176
"uncons","Masbate","u18","Other Infectious",23.0814867345846,6.2019911052222,33.5601826794478
"cons","Masbate","u18","Other Infectious",6.85372320058491,1.05037970830111,10.3034197976132
"uncons","Sorsogon","all","Other Infectious",0,0,0
"uncons","Sorsogon","u18","Other Infectious",0,0,0
"cons","Sorsogon","all","Other Infectious",0,0,0
"cons","Sorsogon","u18","Other Infectious",0,0,0
"uncons","Aklan","all","Other Infectious",0,0,0
"uncons","Aklan","u18","Other Infectious",0,0,0
"cons","Aklan","all","Other Infectious",0,0,0
"cons","Aklan","u18","Other Infectious",0,0,0
"uncons","Antique","all","Other Infectious",0,0,0
"uncons","Antique","u18","Other Infectious",0,0,0
"cons","Antique","all","Other Infectious",0,0,0
"cons","Antique","u18","Other Infectious",0,0,0
"uncons","Capiz","all","Other Infectious",0,0,0
"uncons","Capiz","u18","Other Infectious",0,0,0
"cons","Capiz","all","Other Infectious",0,0,0
"cons","Capiz","u18","Other Infectious",0,0,0
"uncons","Iloilo","all","Other Infectious",0,0,0
"uncons","Iloilo","u18","Other Infectious",0,0,0
"cons","Iloilo","all","Other Infectious",0,0,0
"cons","Iloilo","u18","Other Infectious",0,0,0
"uncons","Negros Occidental","all","Other Infectious",103.29086106589,39.5030766990324,169.370128923563
"cons","Negros Occidental","all","Other Infectious",16.3705012608049,7.31807351445792,25.9820371727493
"uncons","Negros Occidental","u18","Other Infectious",55.3840114918865,37.514959492511,70.4695729949351
"cons","Negros Occidental","u18","Other Infectious",6.95926358653398,5.03772682667405,8.64921396099776
"uncons","Guimaras","all","Other Infectious",0,0,0
"uncons","Guimaras","u18","Other Infectious",0,0,0
"cons","Guimaras","all","Other Infectious",0,0,0
"cons","Guimaras","u18","Other Infectious",0,0,0
"uncons","Bohol","all","Other Infectious",0,0,0
"uncons","Bohol","u18","Other Infectious",0,0,0
"cons","Bohol","all","Other Infectious",0,0,0
"cons","Bohol","u18","Other Infectious",0,0,0
"uncons","Cebu","all","Other Infectious",360.576514720475,228.971583357224,484.749213185599
"cons","Cebu","all","Other Infectious",205.935375682614,135.936820742116,272.106693588327
"uncons","Cebu","u18","Other Infectious",218.586863025069,166.083830342401,263.047318381187
"cons","Cebu","u18","Other Infectious",140.697910717629,106.022240304996,169.768160590021
"uncons","Negros Oriental","all","Other Infectious",46.6042163104255,15.673692792837,73.9906717890361
"cons","Negros Oriental","all","Other Infectious",6.49621286995279,2.53087675379604,10.2740337590613
"uncons","Negros Oriental","u18","Other Infectious",36.6697709560317,22.1369131530884,46.7837763029658
"cons","Negros Oriental","u18","Other Infectious",4.64702232922182,2.66594894221567,6.02835826053054
"uncons","Siquijor","all","Other Infectious",0,0,0
"uncons","Siquijor","u18","Other Infectious",0,0,0
"cons","Siquijor","all","Other Infectious",0,0,0
"cons","Siquijor","u18","Other Infectious",0,0,0
"uncons","Leyte","all","Other Infectious",0,0,0
"uncons","Leyte","u18","Other Infectious",0,0,0
"cons","Leyte","all","Other Infectious",0,0,0
"cons","Leyte","u18","Other Infectious",0,0,0
"uncons","Northern Samar","all","Other Infectious",0,0,0
"uncons","Northern Samar","u18","Other Infectious",0,0,0
"cons","Northern Samar","all","Other Infectious",0,0,0
"cons","Northern Samar","u18","Other Infectious",0,0,0
"uncons","Samar","all","Other Infectious",0,0,0
"uncons","Samar","u18","Other Infectious",0,0,0
"cons","Samar","all","Other Infectious",0,0,0
"cons","Samar","u18","Other Infectious",0,0,0
"uncons","Southern Leyte","all","Other Infectious",0,0,0
"uncons","Southern Leyte","u18","Other Infectious",0,0,0
"cons","Southern Leyte","all","Other Infectious",0,0,0
"cons","Southern Leyte","u18","Other Infectious",0,0,0
"uncons","Zamboanga del Norte","all","Other Infectious",32.9314605545375,11.0894911437065,52.083190767562
"cons","Zamboanga del Norte","all","Other Infectious",32.9314605545375,11.0894911437065,52.083190767562
"uncons","Zamboanga del Norte","u18","Other Infectious",21.0304866820813,8.29934604865262,28.8885429638865
"cons","Zamboanga del Norte","u18","Other Infectious",0,0,0
"uncons","Zamboanga del Sur","all","Other Infectious",0,0,0
"uncons","Zamboanga del Sur","u18","Other Infectious",0,0,0
"cons","Zamboanga del Sur","all","Other Infectious",0,0,0
"cons","Zamboanga del Sur","u18","Other Infectious",0,0,0
"uncons","Zamboanga Sibugay","all","Other Infectious",0,0,0
"uncons","Zamboanga Sibugay","u18","Other Infectious",0,0,0
"cons","Zamboanga Sibugay","all","Other Infectious",0,0,0
"cons","Zamboanga Sibugay","u18","Other Infectious",0,0,0
"uncons","Bukidnon","all","Other Infectious",0,0,0
"uncons","Bukidnon","u18","Other Infectious",0,0,0
"cons","Bukidnon","all","Other Infectious",0,0,0
"cons","Bukidnon","u18","Other Infectious",0,0,0
"uncons","Lanao del Norte","all","Other Infectious",26.4015529316134,4.17945054458902,44.5837091456872
"cons","Lanao del Norte","all","Other Infectious",25.6440777640673,4.1762136576609,43.2131051798507
"uncons","Lanao del Norte","u18","Other Infectious",27.7672769334018,9.55564058555743,40.1974941600973
"cons","Lanao del Norte","u18","Other Infectious",1.42306750698532,0.183151490266913,2.2627810073702
"uncons","Misamis Occidental","all","Other Infectious",116.069542587613,46.1918550619384,178.394579722855
"cons","Misamis Occidental","all","Other Infectious",38.2059689503241,20.2834231055781,55.4007738611246
"uncons","Misamis Occidental","u18","Other Infectious",61.212560961295,32.691366991495,78.0959683472358
"cons","Misamis Occidental","u18","Other Infectious",8.28012324103409,2.88235235528251,10.880066537034
"uncons","Misamis Oriental","all","Other Infectious",49.6444641155967,8.12165352827422,87.9071212645974
"cons","Misamis Oriental","all","Other Infectious",7.5594104308082,1.1851773117702,13.8578370774547
"uncons","Misamis Oriental","u18","Other Infectious",59.8573688017235,29.6789360057149,81.5117278691447
"cons","Misamis Oriental","u18","Other Infectious",0,0,0
"uncons","Davao del Norte","all","Other Infectious",81.635802406064,27.8715210723772,125.719120328394
"cons","Davao del Norte","all","Other Infectious",60.3101708239534,26.3411173630297,87.1751032541579
"uncons","Davao del Norte","u18","Other Infectious",66.8270575828872,32.7629780977244,91.1962648878995
"cons","Davao del Norte","u18","Other Infectious",25.41474612591,12.1060036163378,34.9395143954807
"uncons","Davao del Sur","all","Other Infectious",323.461035936656,159.464183295072,473.463196358448
"cons","Davao del Sur","all","Other Infectious",47.4725163608541,27.2917515188114,66.4161467142647
"uncons","Davao del Sur","u18","Other Infectious",58.2160924517642,18.0675988219247,91.1455671159373
"cons","Davao del Sur","u18","Other Infectious",15.4011657884235,3.30953824668813,25.7965716080879
"uncons","Davao Oriental","all","Other Infectious",0,0,0
"uncons","Davao Oriental","u18","Other Infectious",0,0,0
"cons","Davao Oriental","all","Other Infectious",0,0,0
"cons","Davao Oriental","u18","Other Infectious",0,0,0
"uncons","Compostela Valley","all","Other Infectious",0.824955309383753,-0.010023553943296,1.46957810486834
"cons","Compostela Valley","all","Other Infectious",0.824955309383753,-0.010023553943296,1.46957810486834
"uncons","Cotabato","all","Other Infectious",7.82866785122858,0.973438347688028,13.7877426439514
"cons","Cotabato","all","Other Infectious",7.82866785122858,0.973438347688028,13.7877426439514
"uncons","South Cotabato","all","Other Infectious",53.9927862706001,12.2864849930511,95.095858190485
"cons","South Cotabato","all","Other Infectious",51.066071478493,11.9881869722912,89.6629754065445
"uncons","South Cotabato","u18","Other Infectious",39.4989535162137,22.1123631028935,52.8168883983105
"cons","South Cotabato","u18","Other Infectious",17.054346113842,9.2217870383545,23.2693661356632
"uncons","Sultan Kudarat","all","Other Infectious",56.5111761568508,19.3581280305726,88.817933659346
"cons","Sultan Kudarat","all","Other Infectious",42.1306548088233,13.7773998844806,66.4601136727892
"uncons","Sarangani","all","Other Infectious",0,0,0
"uncons","Sarangani","u18","Other Infectious",0,0,0
"cons","Sarangani","all","Other Infectious",0,0,0
"cons","Sarangani","u18","Other Infectious",0,0,0
"uncons","National Capital Region","all","Other Infectious",441.116092958189,171.298772406496,692.057574894857
