"prov","signif_week"
"Bulacan","2017-14"
"Bulacan","2017-15"
"Bulacan","2017-16"
"Bulacan","2017-17"
"Bulacan","2017-18"
"Bulacan","2017-19"
"Bulacan","2017-20"
"Bulacan","2017-21"
"Bulacan","2017-22"
"Bulacan","2017-23"
"Bulacan","2017-24"
"Bulacan","2017-25"
"Bulacan","2017-26"
"Bulacan","2017-27"
"Bulacan","2017-28"
"Bulacan","2017-29"
"Bulacan","2017-30"
"Bulacan","2017-31"
"Bulacan","2017-32"
"Bulacan","2017-33"
"Bulacan","2017-34"
"Bulacan","2017-35"
"Bulacan","2017-36"
"Bulacan","2017-37"
"Bulacan","2017-38"
"Bulacan","2017-39"
"Bulacan","2018-11"
"Bulacan","2018-12"
"Bulacan","2018-13"
"Bulacan","2018-14"
"Bulacan","2018-15"
"Bulacan","2018-16"
"Bulacan","2018-17"
"Bulacan","2018-18"
"Bulacan","2018-19"
"Bulacan","2018-20"
"Bulacan","2018-21"
"Bulacan","2018-22"
"Bulacan","2018-23"
"Bulacan","2018-24"
"Bulacan","2018-25"
"Bulacan","2018-26"
"Bulacan","2018-27"
"Bulacan","2018-28"
"Bulacan","2018-29"
"Bulacan","2018-30"
"Bulacan","2018-31"
"Bulacan","2018-32"
"Bulacan","2018-33"
"Bulacan","2018-34"
"Bulacan","2018-35"
"Bulacan","2018-36"
"Bulacan","2018-37"
"Bulacan","2018-38"
"Bulacan","2018-39"
"Bulacan","2018-40"
"Bulacan","2018-41"
"Bulacan","2018-42"
"Bulacan","2018-43"
"Bulacan","2018-44"
"Bulacan","2018-45"
"Bulacan","2018-46"
"Bulacan","2018-47"
"Bulacan","2018-48"
"Bulacan","2018-49"
"Bulacan","2018-50"
"Bulacan","2018-51"
"Bulacan","2018-52"
"Bulacan","2019-01"
"Bulacan","2019-02"
"Bulacan","2019-03"
"Bulacan","2019-04"
"Bulacan","2019-05"
"Bulacan","2019-06"
"Bulacan","2019-07"
"Bulacan","2019-08"
"Bulacan","2019-09"
"Bulacan","2019-10"
"Nueva Ecija","2016-19"
"Nueva Ecija","2016-20"
"Nueva Ecija","2016-21"
"Nueva Ecija","2016-22"
"Nueva Ecija","2016-23"
"Nueva Ecija","2016-24"
"Nueva Ecija","2016-25"
"Nueva Ecija","2016-26"
"Nueva Ecija","2016-27"
"Nueva Ecija","2016-28"
"Nueva Ecija","2016-29"
"Nueva Ecija","2016-30"
"Nueva Ecija","2016-31"
"Nueva Ecija","2016-32"
"Nueva Ecija","2016-33"
"Nueva Ecija","2016-34"
"Nueva Ecija","2016-35"
"Nueva Ecija","2016-36"
"Nueva Ecija","2016-37"
"Nueva Ecija","2017-24"
"Nueva Ecija","2017-25"
"Nueva Ecija","2017-26"
"Nueva Ecija","2017-27"
"Nueva Ecija","2017-28"
"Nueva Ecija","2017-29"
"Nueva Ecija","2017-30"
"Nueva Ecija","2017-31"
"Nueva Ecija","2017-32"
"Nueva Ecija","2017-33"
"Nueva Ecija","2017-34"
"Nueva Ecija","2017-35"
"Nueva Ecija","2017-36"
"Nueva Ecija","2017-37"
"Nueva Ecija","2018-13"
"Nueva Ecija","2018-14"
"Nueva Ecija","2018-15"
"Nueva Ecija","2018-16"
"Nueva Ecija","2018-17"
"Nueva Ecija","2018-18"
"Nueva Ecija","2018-43"
"Nueva Ecija","2018-44"
"Nueva Ecija","2018-45"
"Nueva Ecija","2018-46"
"Nueva Ecija","2018-47"
"Nueva Ecija","2018-48"
"Nueva Ecija","2018-49"
"Nueva Ecija","2018-50"
"Nueva Ecija","2018-51"
"Nueva Ecija","2018-52"
"Nueva Ecija","2019-01"
"Nueva Ecija","2019-02"
"Nueva Ecija","2019-03"
"Nueva Ecija","2019-04"
"Nueva Ecija","2019-05"
"Nueva Ecija","2019-06"
"Nueva Ecija","2019-07"
"Nueva Ecija","2019-08"
"Nueva Ecija","2019-09"
"Nueva Ecija","2019-10"
"Nueva Ecija","2019-11"
"Nueva Ecija","2019-12"
"Nueva Ecija","2019-13"
"Nueva Ecija","2019-14"
"Nueva Ecija","2019-15"
"Nueva Ecija","2019-16"
"Nueva Ecija","2019-17"
"Nueva Ecija","2019-18"
"Nueva Ecija","2019-19"
"Nueva Ecija","2019-20"
"Nueva Ecija","2019-21"
"Nueva Ecija","2019-22"
"Nueva Ecija","2019-23"
"Nueva Ecija","2019-24"
"Nueva Ecija","2019-25"
"Nueva Ecija","2019-26"
"Nueva Ecija","2019-27"
"Nueva Ecija","2019-28"
"Nueva Ecija","2019-29"
"Nueva Ecija","2019-30"
"Nueva Ecija","2019-31"
"Nueva Ecija","2019-32"
"Nueva Ecija","2019-33"
"Nueva Ecija","2019-34"
"Nueva Ecija","2019-35"
"Nueva Ecija","2019-36"
"Nueva Ecija","2019-37"
"Nueva Ecija","2019-38"
"Nueva Ecija","2019-39"
"Pampanga","2016-19"
"Pampanga","2016-20"
"Pampanga","2016-21"
"Pampanga","2016-22"
"Pampanga","2016-23"
"Pampanga","2016-24"
"Pampanga","2016-25"
"Pampanga","2016-26"
"Pampanga","2016-27"
"Pampanga","2016-28"
"Pampanga","2016-29"
"Pampanga","2016-30"
"Pampanga","2016-31"
"Pampanga","2016-32"
"Pampanga","2016-33"
"Pampanga","2016-34"
"Pampanga","2016-35"
"Pampanga","2016-36"
"Pampanga","2016-37"
"Pampanga","2016-38"
"Pampanga","2016-39"
"Pampanga","2016-40"
"Pampanga","2016-41"
"Pampanga","2016-42"
"Pampanga","2016-43"
"Pampanga","2016-44"
"Pampanga","2016-45"
"Pampanga","2016-46"
"Pampanga","2016-47"
"Pampanga","2016-48"
"Pampanga","2016-49"
"Pampanga","2016-50"
"Pampanga","2016-51"
"Pampanga","2016-52"
"Pampanga","2017-01"
"Pampanga","2017-02"
"Pampanga","2017-03"
"Pampanga","2017-04"
"Pampanga","2017-05"
"Pampanga","2017-06"
"Pampanga","2017-07"
"Pampanga","2017-08"
"Pampanga","2017-09"
"Pampanga","2017-10"
"Pampanga","2018-26"
"Pampanga","2018-27"
"Pampanga","2019-09"
"Pampanga","2019-10"
"Pampanga","2019-11"
